stage,start_time,end_time,duration_seconds,percentage_of_total,status,error_message
Ingestion,2026-07-12T02:59:49.153,2026-07-12T02:59:49.176,0.022138,9.86,SUCCESS,
Validation,2026-07-12T02:59:49.176,2026-07-12T02:59:49.185,0.009138,4.07,SUCCESS,
Raw Profiling,2026-07-12T02:59:49.185,2026-07-12T02:59:49.228,0.043567,19.41,SUCCESS,
Fallback Rules,2026-07-12T02:59:49.229,2026-07-12T02:59:49.266,0.037329,16.63,SUCCESS,
Cleaning,2026-07-12T02:59:49.266,2026-07-12T02:59:49.314,0.048214,21.48,SUCCESS,
Transformation,2026-07-12T02:59:49.314,2026-07-12T02:59:49.354,0.039354,17.53,SUCCESS,
Storage,2026-07-12T02:59:49.354,2026-07-12T02:59:49.378,0.024703,11.01,SUCCESS,
