stage,start_time,end_time,duration_seconds,percentage_of_total,status,error_message
Ingestion,2026-07-12T00:04:03.980,2026-07-12T00:04:04.015,0.034957,12.83,SUCCESS,
Validation,2026-07-12T00:04:04.015,2026-07-12T00:04:04.024,0.008537,3.13,SUCCESS,
Raw Profiling,2026-07-12T00:04:04.024,2026-07-12T00:04:04.067,0.043717,16.04,SUCCESS,
Fallback Rules,2026-07-12T00:04:04.068,2026-07-12T00:04:04.109,0.041762,15.33,SUCCESS,
Cleaning,2026-07-12T00:04:04.109,2026-07-12T00:04:04.161,0.051888,19.04,SUCCESS,
Transformation,2026-07-12T00:04:04.161,2026-07-12T00:04:04.204,0.043021,15.79,SUCCESS,
Storage,2026-07-12T00:04:04.205,2026-07-12T00:04:04.232,0.026948,9.89,SUCCESS,
Business Analytics,2026-07-12T00:04:04.232,2026-07-12T00:04:04.253,0.021669,7.95,SUCCESS,
